,Transit excluding GO rail,Cycle,Auto driver,GO rail only,Joint GO rail and local transit,Motorcycle,Other,Auto passenger,School bus,Taxi passenger,Paid rideshare,Walk
1,102969,73703,1295175,19,0,2311,3636,334808,44600,9921,5041,574336
2,201503,52270,1170432,5,0,1789,2706,325872,59304,11957,6469,123875
3,194627,33886,943186,237,0,2478,1357,242659,52948,8048,6256,22700
4,175782,21923,778786,22,79,1295,1149,193791,41189,6328,4911,7003
5,150087,13790,654991,227,98,1040,737,148326,27604,3409,3075,2909
6,130410,8212,561098,386,121,1057,641,127095,19073,2791,3191,669
7,114791,6225,460513,218,59,717,398,98997,14761,2855,2639,696
8,97068,4219,405372,718,176,494,482,79998,11797,1878,1557,271
9,85096,2568,346843,967,239,688,418,65222,10762,1429,1972,221
10,74074,1824,308711,1003,115,447,241,57234,10293,1007,1278,114
11,68273,1280,273370,866,148,486,193,47466,6903,645,1057,224
12,64823,1394,250954,1085,499,144,249,43112,7219,1065,1078,241
13,63181,436,235632,1416,262,399,440,37972,6801,515,575,145
14,55791,641,211247,2520,418,316,35,33042,4683,710,486,213
15,53284,631,203905,1599,657,306,16,30127,4831,504,367,10
16,39176,176,183590,1106,509,286,34,25559,3126,660,527,60
17,34624,274,170342,1773,629,329,0,24533,3496,471,505,0
18,27099,225,159274,2128,938,390,76,20392,2717,637,500,83
19,22618,340,145194,2882,1025,189,190,20019,1479,703,311,25
20,21742,320,132751,2998,843,312,122,18331,2880,406,214,48
21,19600,86,119599,4715,1171,155,115,15609,1126,546,227,130
22,18920,24,104151,3797,1641,258,91,13661,1007,450,74,0
23,14614,48,105668,4577,1572,64,54,14489,572,356,229,82
24,13076,0,95998,6005,1550,183,69,11345,925,156,160,65
25,8886,95,84304,6871,1571,306,115,9829,1087,301,80,59
26,8183,200,80190,5595,2029,15,46,10252,963,258,125,34
27,7344,0,75538,5883,2826,142,57,8784,714,323,211,0
28,6260,149,69324,6533,2446,414,20,8552,558,152,47,38
29,5703,25,70359,5189,2262,187,14,8586,376,115,147,39
30,5168,0,62385,5082,2785,108,14,6473,626,86,75,20
31,4290,45,57112,5749,3424,115,0,7601,408,94,129,171
32,3112,0,54502,4492,1729,35,138,7444,464,132,0,0
33,2698,31,51608,3404,2511,56,73,6324,169,130,46,111
34,2727,0,49259,3189,2530,71,25,5047,792,283,0,0
35,1705,0,42349,2566,2101,45,0,5346,364,233,0,145
36,2240,0,45279,3457,2059,24,0,4437,466,104,0,18
37,2550,37,38083,4003,1789,0,0,5799,360,44,32,135
38,1411,175,38611,3327,1594,137,0,4453,81,139,94,110
39,1456,0,34187,2389,1510,15,0,3858,368,11,57,124
40,1148,0,33407,2617,1235,48,0,4602,168,0,0,0
41,1125,0,31627,2988,1353,63,0,3454,80,10,33,0
