dauid,population,pop_in_low_inc_hhld_LICO
35203853,331,50
35203857,1966,580
35203851,290,45
35203852,330,35
35203420,729,100
35203850,1024,145
35203418,624,100
35203419,626,65
35203495,470,60
35203496,512,75
35203493,562,80
35203494,583,75
35203818,703,120
35203492,504,95
35203407,585,100
35203408,1958,275
35203405,1055,325
35203406,1521,380
35203403,2382,360
35203404,2170,665
35200406,389,10
35203491,593,100
35200404,470,65
35200405,462,80
35203490,597,85
35200402,465,40
35200196,537,75
35203828,458,30
35200190,380,45
35200193,407,30
35200188,873,235
35200189,467,85
35203725,560,60
35203726,488,35
35203723,431,25
35203724,510,20
35203591,1019,155
35203722,524,30
35203529,542,80
35203530,526,65
35203888,757,60
35203528,535,70
35203886,460,35
35203887,564,55
35203884,481,45
35203885,411,110
35203882,390,25
35203883,435,65
35203880,362,55
35203881,631,125
35203878,618,130
35203448,961,470
35203449,1151,365
35203446,567,75
35203447,651,75
35203444,637,130
35203445,593,80
35203519,984,65
35203673,257,20
35203860,386,80
35203858,430,85
35203859,351,65
35204415,913,265
35204416,375,85
35204413,1002,275
35204414,1346,615
35204411,571,340
35204412,1462,525
35202575,561,40
35204410,926,140
35204408,584,110
35204409,379,65
35204406,426,40
35204407,535,125
35204404,497,35
35204405,686,75
35204402,1911,405
35204403,609,105
35202574,466,40
35203733,500,15
35202549,468,100
35202550,534,115
35204398,558,85
35204399,972,190
35204396,998,105
35204397,1131,145
35204389,875,120
35204395,630,30
35204278,483,30
35204393,539,40
35204394,455,25
35204417,431,60
35204358,729,125
35204387,570,80
35204388,551,40
35204351,2007,240
35204352,1609,465
35204347,2261,495
35204350,517,70
35204345,645,60
35204346,888,195
35204343,616,40
35204344,1087,145
35204349,583,45
35204342,507,30
35204271,975,70
35204348,2121,330
35204440,478,50
35204269,6071,1890
35204438,609,65
35204439,675,45
35204437,601,50
35204225,508,130
35204226,486,100
35204222,758,195
35204224,1277,265
35204220,333,60
35204221,422,110
35204218,662,50
35204219,365,115
35204435,976,90
35204436,2097,750
35204289,805,120
35204277,1207,100
35204391,629,25
35204392,476,80
35204275,530,100
35204276,508,20
35204273,32,
35204274,565,270
35204272,3178,990
35204265,1016,60
35204266,148,
35204268,587,40
35202479,525,70
35204362,526,35
35204267,2189,400
35204360,905,210
35204361,491,45
35204390,1145,285
35204359,1249,525
35204356,820,180
35204357,550,30
35204355,2583,370
35204236,661,40
35204238,723,30
35204233,308,50
35204235,443,50
35203107,719,30
35204232,1246,45
35203753,399,60
35203105,387,20
35203751,438,35
35203752,933,80
35203748,363,25
35203746,1115,100
35203747,729,45
35203744,631,50
35203745,865,65
35204180,865,80
35204386,768,50
35204179,519,305
35204177,587,55
35204178,734,50
35204174,526,90
35204176,434,60
35204262,400,30
35204263,418,30
35204259,5520,1425
35204261,888,390
35204418,227,
35204419,526,45
35204211,327,60
35204212,978,310
35204208,1288,365
35204209,176,
35204206,372,60
35204207,424,45
35203098,468,20
35204205,344,40
35203096,763,70
35203097,556,40
35203094,542,25
35203095,648,45
35204204,112,
35203093,682,40
35203087,527,50
35204202,765,110
35203082,363,65
35203086,934,145
35204341,357,
35203081,344,55
35204340,627,170
35203102,381,20
35204455,711,140
35204456,1127,280
35204240,1240,285
35204454,2915,560
35204237,479,35
35204422,508,35
35202770,614,65
35202771,578,30
35202768,862,65
35202769,525,75
35202767,479,35
35202765,569,50
35202763,427,15
35202764,423,30
35203586,430,25
35202762,972,90
35204167,521,30
35203585,465,40
35204165,3533,870
35204166,587,40
35204163,504,5
35204164,602,95
35203109,690,35
35204162,476,35
35204170,529,20
35204168,851,105
35204169,298,20
35203754,702,55
35203755,387,15
35204173,612,115
35203718,1682,105
35203719,580,35
35203716,887,200
35203717,0,
35203715,420,25
35204279,595,30
35203713,661,20
35203714,609,35
35204172,447,30
35203740,377,35
35203743,509,55
35204171,1181,265
35203710,514,40
35203708,1142,50
35203709,1020,115
35204423,484,95
35203705,366,20
35203571,472,45
35203572,406,45
35203570,629,105
35204154,656,60
35204155,650,55
35202761,409,25
35203130,449,110
35202758,459,45
35202760,727,85
35202757,411,35
35202753,465,15
35202756,481,15
35204156,660,110
35204420,457,60
35202747,669,35
35202748,908,185
35202745,525,30
35202746,466,60
35202742,385,20
35202743,935,110
35202739,716,50
35202741,457,55
35202749,327,10
35203590,1380,220
35203588,570,70
35203589,686,100
35204160,479,50
35204161,550,75
35204157,525,
35204159,707,90
35204421,538,70
35203569,465,40
35204152,575,95
35204153,502,105
35204150,783,95
35204151,929,185
35204148,759,65
35204149,961,130
35202577,514,35
35202702,2354,290
35202703,420,35
35202700,611,60
35202701,506,25
35202699,313,45
35202930,559,55
35202920,624,45
35202928,917,75
35202918,687,45
35202919,570,20
35202911,588,45
35202912,656,60
35202907,485,65
35202910,387,40
35202905,577,20
35202906,913,95
35202903,638,95
35202904,533,20
35202901,477,40
35202902,478,60
35202899,533,15
35202900,725,80
35202897,469,25
35202898,443,10
35202895,525,55
35202896,427,20
35203615,398,70
35203616,564,105
35203581,339,40
35203584,677,150
35203345,595,105
35203587,515,50
35202751,377,5
35202752,451,25
35203627,679,90
35202750,818,90
35203108,652,30
35203626,477,40
35203622,1084,220
35203623,936,140
35203620,981,115
35203621,1118,145
35203346,433,30
35203619,543,70
35203617,984,335
35203618,2437,415
35203613,937,145
35203614,374,60
35203611,422,45
35202676,688,25
35203608,615,65
35203610,771,25
35203612,512,90
35203607,757,90
35202892,315,30
35202462,1015,365
35202466,657,115
35202460,397,70
35202461,312,60
35202457,268,30
35202458,348,35
35202455,465,65
35202456,364,60
35202454,806,140
35203322,612,30
35202459,424,70
35202891,589,70
35203321,377,30
35202675,556,40
35202890,641,100
35202888,493,40
35202889,418,70
35202886,439,20
35202887,475,65
35203579,455,55
35203580,961,260
35203577,439,30
35203578,512,60
35203576,500,65
35202894,709,110
35203574,640,60
35203575,595,45
35203330,1061,470
35203573,665,95
35203323,418,45
35203324,567,165
35203568,1012,260
35203606,528,95
35203566,958,190
35203567,670,110
35203561,1074,225
35202893,613,115
35203552,624,75
35203554,470,85
35203547,552,75
35203548,827,160
35203300,437,55
35203301,494,65
35203299,469,55
35202673,1200,125
35204535,1509,290
35204536,901,185
35204533,1159,275
35204534,461,90
35204531,542,60
35204532,517,150
35204529,510,35
35204530,566,45
35204527,472,45
35204528,498,40
35204517,423,60
35204518,576,75
35204515,707,85
35204516,730,95
35204513,340,25
35204514,458,65
35202849,1134,275
35204512,522,70
35202883,315,40
35202884,487,35
35202881,483,40
35202882,582,45
35202879,1343,80
35202880,749,105
35202878,499,60
35202674,1289,155
35203298,517,40
35202850,831,300
35204147,1439,230
35203297,516,75
35202823,855,80
35202840,322,
35202820,1328,290
35202821,932,225
35202818,1728,295
35202819,1016,210
35202814,324,25
35202817,1798,305
35202812,564,30
35202813,437,40
35202810,393,50
35202811,828,75
35202809,331,50
35204860,0,
35204858,894,165
35204859,1376,210
35204856,1502,120
35204857,1311,520
35202704,438,35
35204855,673,65
35203604,735,105
35203605,719,125
35203599,815,100
35203600,392,45
35203596,321,25
35203597,452,40
35203594,811,70
35203595,588,70
35204885,3509,1170
35204883,1901,655
35204884,496,95
35204881,441,50
35204882,554,140
35204879,1087,110
35204880,1804,165
35203593,301,40
35204622,564,125
35204832,1756,280
35204830,1375,340
35204831,459,75
35204827,3274,500
35204829,817,185
35202997,631,15
35202705,1401,120
35202995,350,15
35202996,609,35
35202993,823,20
35202994,322,5
35202706,543,100
35204888,1828,305
35204890,462,20
35204886,392,95
35204887,1142,145
35202983,525,35
35202984,1147,85
35202977,273,45
35202982,299,20
35204200,81,
35204876,724,355
35204877,337,65
35204873,1629,215
35202966,306,20
35204889,400,60
35202965,897,265
35202953,497,10
35203592,377,60
35202950,575,40
35202952,497,10
35202944,798,125
35202945,468,25
35202942,613,10
35202943,764,95
35202940,457,55
35202941,493,20
35202938,501,30
35202939,701,50
35202949,697,60
35204825,1130,155
35204824,1392,195
35202948,386,10
35204822,1937,215
35204823,811,130
35204820,3025,510
35204821,1021,155
35204819,6748,1735
35202947,842,50
35204802,1110,175
35204872,3623,420
35204826,3595,625
35204870,1869,135
35204871,2011,165
35204867,730,85
35204869,320,20
35204814,930,225
35204815,1055,170
35204812,879,95
35204813,735,145
35204810,821,90
35204811,1011,185
35204808,841,105
35204809,765,265
35204806,415,70
35204807,1223,285
35204805,1078,110
35204828,1246,325
35204854,0,
35204803,1097,350
35204798,959,75
35204853,380,10
35204796,3340,1335
35204797,911,70
35204791,888,110
35204793,1420,185
35204789,966,280
35204790,493,165
35204795,774,205
35204788,1137,200
35204787,523,75
35204794,903,120
35202776,584,25
35202788,1039,70
35202992,585,20
35202787,553,40
35202991,650,65
35202620,1876,270
35202621,481,25
35202684,567,45
35202619,616,55
35202681,474,10
35202682,711,50
35202679,592,5
35202680,450,25
35202677,525,20
35202678,439,10
35202975,341,15
35202976,364,10
35202656,727,165
35202974,362,10
35202612,682,95
35202683,466,45
35202608,806,60
35202611,421,25
35202655,904,210
35202645,436,30
35204800,384,25
35204801,454,45
35202695,447,15
35204799,2387,530
35202694,876,50
35202946,611,40
35202690,475,30
35202691,609,25
35202688,631,25
35202689,575,35
35202686,469,10
35202687,549,25
35204786,849,60
35202685,515,15
35203032,409,50
35203033,391,50
35202653,353,20
35203031,1013,90
35202649,701,45
35202650,795,90
35202647,699,55
35202648,573,40
35202937,656,20
35202646,615,25
35202935,633,35
35202936,556,30
35203156,374,115
35202933,514,45
35202779,436,20
35202804,960,120
35202777,572,20
35202778,609,40
35204878,0,
35202616,550,55
35204705,306,85
35204707,1916,635
35204701,149,
35204704,1695,500
35204547,467,65
35204548,1050,240
35204699,624,290
35204700,1242,315
35204697,540,240
35204698,680,195
35202606,627,60
35204696,629,95
35202600,453,20
35202605,551,150
35204546,530,90
35202599,585,35
35202597,503,45
35202598,361,20
35202593,468,50
35202594,349,30
35204865,1155,200
35204866,696,90
35204863,1650,660
35204864,0,
35204545,379,55
35204862,1029,380
35204689,819,260
35204690,981,190
35204687,355,60
35204688,673,170
35202954,511,40
35202644,515,25
35202654,1355,320
35202591,916,190
35202590,411,60
35202955,592,55
35202588,325,40
35202589,1025,205
35202586,521,70
35202587,617,125
35202584,431,75
35202585,636,105
35202802,501,30
35202803,553,60
35202774,537,50
35202775,504,10
35204559,572,65
35202773,595,40
35204557,489,30
35204558,800,95
35204555,519,60
35204556,518,60
35204553,458,30
35204554,478,55
35204544,611,50
35204552,462,50
35204542,447,35
35204543,889,160
35204540,582,100
35204541,590,25
35202617,539,70
35202618,676,135
35203350,929,470
35203351,603,90
35203347,382,50
35203348,883,280
35204817,768,125
35204695,457,90
35204816,1176,260
35202792,390,35
35202797,584,30
35204694,2436,290
35204685,446,90
35204683,429,40
35204684,632,325
35204681,374,35
35204682,449,255
35204679,399,60
35204680,676,135
35204676,4631,580
35204678,391,35
35202791,610,145
35202583,663,90
35204686,477,50
35202801,743,70
35204852,727,140
35204851,777,125
35204861,583,95
35204848,912,90
35204850,1744,655
35204673,593,55
35204674,557,40
35202800,457,50
35204672,830,50
35204670,1200,140
35204671,439,25
35204668,874,120
35204669,488,125
35204666,2606,380
35204667,453,100
35204539,534,90
35204665,594,160
35203360,260,50
35204538,538,50
35203359,461,85
35202799,422,30
35203357,349,35
35203358,468,65
35203355,489,55
35203356,517,95
35203353,469,80
35203354,545,55
35203352,444,100
35202798,726,65
35202571,653,90
35202572,664,100
35202569,825,85
35202570,586,50
35202566,852,90
35202567,779,65
35202564,615,55
35202565,680,45
35202555,863,165
35202560,416,60
35202554,970,230
35204509,527,40
35204507,971,130
35204508,526,65
35204505,988,160
35204506,883,65
35204503,566,110
35204504,401,35
35204498,508,50
35204621,663,180
35204496,466,35
35204497,407,40
35204494,801,135
35204495,528,55
35204492,382,35
35204493,495,55
35204490,966,265
35204491,491,45
35204489,676,85
35204663,466,150
35204664,575,100
35204662,1028,225
35204066,1428,80
35202932,504,25
35204065,1617,385
35202573,608,45
35202931,613,85
35204486,476,20
35204487,1717,195
35204484,464,40
35204485,544,25
35202615,436,55
35204483,425,130
35202613,650,70
35202614,485,50
35204452,477,85
35204453,945,200
35204451,417,115
35204478,786,65
35204449,383,80
35204450,413,70
35204447,474,90
35204448,714,210
35204446,682,290
35202592,439,25
35204444,403,100
35204445,467,110
35204433,489,15
35204434,487,35
35204431,599,20
35204432,521,75
35204560,531,35
35202551,464,80
35204301,441,40
35204302,514,45
35204299,427,70
35204300,485,60
35204296,654,85
35204298,1205,490
35204482,411,40
35204480,815,255
35204481,528,40
35202643,503,25
35204479,100,
35202641,735,35
35202642,502,15
35202639,469,25
35202640,905,100
35204477,476,35
35204620,649,165
35204476,464,25
35204474,3403,525
35204475,595,25
35202553,1000,210
35202478,742,85
35202772,605,30
35202476,631,60
35202477,570,70
35202472,749,390
35202475,576,80
35202468,886,130
35202469,763,110
35204425,541,125
35204426,2462,705
35204675,1553,135
35204424,933,155
35204443,488,100
35204074,5498,2585
35204067,1228,55
35204068,2426,300
35204072,2933,935
35204073,5983,2230
35204069,1586,300
35204070,1114,140
35204064,1774,235
35204280,391,55
35204062,1847,420
35204063,2732,325
35204061,1312,385
35204060,2044,425
35204058,1313,260
35204059,2907,775
35204294,550,60
35204295,447,45
35204297,466,50
35204293,469,55
35204537,646,120
35202467,570,120
35204291,943,195
35204292,719,80
35204287,775,375
35204290,1342,610
35204285,509,90
35204286,556,45
35204283,541,75
35204284,2869,545
35204281,626,90
35204282,665,80
35204441,513,70
35204442,466,80
35204692,540,130
35204693,485,90
35204691,4122,885
35204430,922,225
35204428,2876,800
35204429,587,65
35204427,1109,390
35204288,545,85
35204625,397,45
35204614,1001,315
35204615,1723,515
35204732,677,40
35204731,627,45
35204729,589,40
35204730,578,125
35204774,981,210
35204768,901,145
35204623,675,200
35204624,654,175
35204775,716,100
35204231,1414,260
35204230,2640,420
35204217,298,85
35204216,985,260
35204198,1069,395
35204199,1038,160
35204196,492,165
35204197,611,210
35204194,953,135
35204195,1669,470
35203739,402,40
35203080,295,55
35203738,537,30
35204201,1176,65
35203737,612,20
35203736,430,10
35203735,394,5
35203053,1176,250
35203051,773,215
35203052,177,
35203049,255,20
35203050,378,55
35203047,593,50
35203048,515,60
35203046,402,40
35203044,367,40
35203045,555,45
35203055,692,145
35203054,1079,105
35204257,1329,355
35204258,0,
35203040,359,25
35203041,874,55
35203038,1050,145
35203039,473,50
35203734,412,5
35204400,460,20
35204401,1498,415
35204191,651,110
35204192,539,265
35204184,1198,480
35204186,465,75
35204182,821,170
35204183,539,50
35204189,474,85
35204190,1223,325
35204187,825,140
35204188,569,35
35202990,941,135
35204213,1600,50
35202988,451,5
35202989,455,25
35202986,539,15
35202987,474,25
35203163,618,80
35202985,601,40
35203035,633,65
35203036,454,70
35204193,347,40
35203034,735,230
35202972,490,35
35203043,418,40
35202970,471,95
35202971,616,40
35202968,715,35
35202969,936,25
35202973,416,20
35202967,474,20
35203160,2469,390
35203161,567,95
35203079,264,40
35203157,7939,1245
35202735,1479,515
35202736,967,325
35202727,604,270
35202733,1944,755
35202712,841,130
35202722,1435,100
35202707,716,115
35203037,532,95
35204353,2227,885
35204181,621,45
35204145,1834,615
35204146,1148,100
35204143,1946,990
35204144,1948,485
35204141,2093,540
35204142,2594,250
35203162,972,105
35204229,1277,160
35204227,1453,170
35204228,3108,330
35203002,679,65
35203003,569,45
35203000,672,10
35203001,530,15
35202998,528,10
35202999,510,10
35203042,629,75
35203167,288,85
35204214,529,10
35204215,834,20
35203681,556,20
35200210,525,135
35203678,234,
35203679,380,10
35203676,534,25
35203677,460,20
35203675,601,45
35200430,621,80
35200201,563,55
35200202,564,65
35203659,998,250
35200200,503,20
35203657,465,60
35203658,403,35
35203680,460,10
35203656,673,65
35203661,723,65
35203664,1078,370
35201914,251,25
35200103,281,55
35201734,493,15
35201913,432,30
35201731,466,50
35201732,696,35
35201736,1685,605
35201737,650,115
35200223,420,80
35201735,484,180
35203691,1039,65
35200222,843,195
35203689,570,65
35200796,479,35
35200415,527,45
35200416,498,25
35200205,499,90
35200414,1168,200
35200203,600,80
35200204,660,135
35200106,1389,280
35200305,622,85
35200306,630,110
35200307,289,70
35200104,1058,230
35200105,1274,175
35200338,464,70
35204488,1936,380
35200336,473,65
35200337,482,100
35200334,460,70
35200335,481,50
35200238,352,70
35200452,626,25
35200237,365,65
35200431,622,100
35200235,403,90
35200236,394,50
35200233,385,105
35200234,458,40
35200224,801,115
35200232,668,105
35200213,565,85
35200214,633,85
35200211,428,95
35200212,408,105
35201704,437,20
35201705,505,30
35201703,609,15
35201701,561,20
35201702,521,30
35201699,497,10
35201700,708,60
35200388,761,95
35201698,583,100
35200386,805,75
35200387,441,45
35201692,944,40
35200385,330,50
35201691,566,30
35200795,448,30
35201676,787,30
35201690,950,35
35200378,304,30
35201675,729,50
35200376,542,55
35200377,497,100
35200147,495,100
35200375,327,40
35201741,489,30
35203687,747,55
35203688,612,65
35203660,426,70
35203686,355,15
35203531,477,30
35203685,448,30
35201744,1856,170
35201748,1352,190
35201739,459,25
35201740,568,25
35201696,1476,130
35201875,1309,275
35203690,518,40
35201738,472,25
35201694,669,65
35201695,532,100
35201693,1033,45
35200394,580,55
35200393,890,90
35200176,404,35
35200174,616,85
35200175,674,90
35200118,585,185
35200164,226,
35200116,529,150
35200117,881,220
35201180,524,60
35200115,854,160
35201178,468,45
35201179,517,55
35200146,532,95
35201177,463,55
35200144,588,125
35200145,538,130
35200109,516,110
35200143,803,110
35200108,496,70
35201157,367,35
35200107,227,
35201155,413,35
35201156,482,110
35201153,504,55
35201154,546,65
35201151,326,70
35201152,397,70
35201149,310,60
35201150,354,75
35204244,399,50
35204246,2256,1310
35204242,1815,175
35204243,1355,355
35203029,267,20
35203030,394,10
35200125,645,140
35200126,501,110
35200124,848,145
35200089,596,90
35200384,527,40
35200088,484,65
35200166,844,140
35200383,570,90
35200165,507,70
35200308,564,20
35201175,516,60
35201495,872,50
35201148,430,75
35201174,473,60
35201146,341,45
35201147,404,45
35201144,283,35
35201145,627,75
35201142,521,65
35201143,548,75
35201140,439,50
35201141,544,45
35201482,552,50
35201485,549,35
35201480,434,20
35201481,401,35
35201478,428,25
35201479,420,55
35201471,735,85
35201477,419,15
35201063,779,125
35201469,2280,290
35201468,683,30
35201483,525,40
35204900,3023,410
35204898,967,115
35204899,0,
35204891,2044,230
35204892,151,
35203027,777,50
35203028,457,45
35203026,686,90
35204526,559,100
35203016,658,105
35203018,221,
35203009,426,10
35203015,307,15
35200087,629,105
35203008,518,20
35201076,598,85
35204245,204,
35201072,582,65
35201073,656,70
35201070,369,65
35201071,501,55
35201432,504,95
35201069,477,70
35201172,516,105
35201173,404,90
35201170,506,105
35201171,381,75
35201168,497,80
35201169,431,55
35201500,582,20
35201501,745,25
35201176,436,40
35201431,364,85
35201498,431,15
35201499,478,20
35201496,1434,95
35201497,497,20
35201402,419,60
35201403,268,40
35201400,283,60
35201401,1891,215
35201398,431,55
35201399,456,115
35201467,612,65
35201397,491,50
35201674,749,90
35201466,749,60
35201384,379,20
35201673,406,70
35201381,428,95
35201383,420,50
35201374,671,65
35201375,610,85
35201372,464,70
35201373,397,5
35201370,377,30
35201371,393,45
35201368,349,25
35201369,646,125
35204846,1574,380
35204847,1400,405
35204844,1959,290
35204845,2711,375
35204842,2587,495
35204843,2174,355
35204896,1753,235
35204897,1985,295
35204894,3642,435
35204895,977,85
35201429,528,70
35201430,436,70
35201427,482,70
35201428,649,115
35201423,353,45
35201426,437,40
35201414,489,30
35201422,581,100
35201412,329,40
35201413,476,75
35201410,401,55
35201411,489,55
35201418,425,50
35200173,392,55
35201494,708,50
35201417,362,60
35201492,523,45
35201493,706,45
35201490,472,20
35201491,537,45
35201488,631,25
35201489,457,15
35201697,476,25
35201487,793,15
35201406,571,75
35201407,703,90
35201404,408,80
35201405,464,70
35204836,404,65
35204837,543,35
35204835,857,110
35204782,2613,1100
35204783,0,
35204780,1246,300
35204781,1037,250
35204785,675,65
35204779,437,85
35204784,0,
35200676,631,30
35200677,516,20
35200674,945,110
35200675,583,100
35200672,301,40
35200673,608,145
35200670,525,30
35200671,418,25
35201058,513,140
35200669,368,30
35201057,679,100
35201166,420,85
35201167,844,475
35201163,242,
35204525,320,35
35204840,581,195
35204841,1612,170
35200167,1332,160
35204839,1589,520
35201394,539,75
35201391,331,35
35201393,560,95
35201389,1012,100
35201390,535,70
35200162,701,105
35200163,680,75
35200150,1353,545
35200161,669,120
35200148,407,75
35200149,374,110
35201361,723,130
35201395,489,85
35200141,561,75
35200142,436,50
35201364,496,45
35201365,796,70
35200140,372,50
35201363,391,45
35201362,1905,680
35204838,951,250
35203006,473,15
35203007,611,20
35202365,373,5
35202366,415,15
35202363,931,30
35202364,428,20
35202361,473,30
35202362,299,45
35202359,577,55
35202360,551,35
35202357,593,30
35202358,477,20
35202355,867,55
35202356,516,30
35202353,524,25
35202354,426,10
35202351,487,40
35202352,482,10
35200653,428,35
35202350,692,35
35200651,715,55
35200652,608,40
35200649,530,30
35200650,742,35
35200647,458,60
35200648,512,80
35201486,432,30
35200646,435,35
35202270,518,85
35202348,508,35
35202347,421,55
35200654,1917,95
35201161,263,145
35201162,632,95
35201159,730,60
35201160,374,95
35200657,875,125
35201158,856,125
35200655,529,65
35200656,419,145
35201416,470,70
35201139,688,145
35201133,523,30
