"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15"
5350204.00,4537.00,0.74,2275.00,1345.00,75.00,625.00,110.00,105.00,20.00,2275.00,270.00,585.00,635.00,390.00,405.00
5350205.00,149.00,0.73,,,,,,,,,,,,,
5350206.01,4217.00,1.11,2175.00,1280.00,70.00,720.00,45.00,45.00,10.00,2175.00,290.00,645.00,605.00,250.00,380.00
5350206.02,5867.00,1.09,3115.00,1865.00,160.00,865.00,130.00,65.00,35.00,3120.00,480.00,775.00,845.00,420.00,590.00
5350207.00,2605.00,0.67,1425.00,755.00,65.00,485.00,85.00,25.00,15.00,1425.00,185.00,350.00,435.00,205.00,255.00
5350208.00,4172.00,1.29,1820.00,895.00,100.00,705.00,70.00,25.00,25.00,1820.00,210.00,335.00,435.00,290.00,555.00
5350209.00,2718.00,0.69,1235.00,675.00,40.00,420.00,75.00,20.00,10.00,1240.00,245.00,300.00,365.00,180.00,145.00
5350210.01,3083.00,2.96,1405.00,835.00,75.00,440.00,20.00,20.00,20.00,1410.00,170.00,340.00,425.00,260.00,215.00
5350210.02,11390.00,0.91,6910.00,4790.00,300.00,1555.00,80.00,85.00,95.00,6910.00,440.00,1770.00,2345.00,1255.00,1095.00
5350211.00,6350.00,3.27,3160.00,2135.00,175.00,655.00,130.00,40.00,30.00,3160.00,650.00,930.00,815.00,335.00,425.00
5350212.00,5704.00,1.68,2885.00,1955.00,180.00,630.00,65.00,25.00,35.00,2885.00,560.00,885.00,680.00,295.00,470.00
5350213.01,2666.00,0.94,1265.00,770.00,65.00,365.00,45.00,15.00,10.00,1265.00,215.00,310.00,360.00,240.00,140.00
5350213.02,6045.00,6.99,3625.00,1990.00,130.00,1355.00,110.00,0.00,30.00,3625.00,455.00,985.00,1025.00,655.00,500.00
5350214.00,5069.00,2.82,2900.00,1620.00,130.00,1005.00,115.00,15.00,20.00,2900.00,365.00,650.00,915.00,625.00,345.00
5350215.00,6748.00,2.60,3425.00,2145.00,100.00,1000.00,100.00,55.00,35.00,3425.00,500.00,950.00,950.00,635.00,400.00
5350216.00,5532.00,1.98,2535.00,1645.00,105.00,640.00,75.00,50.00,25.00,2535.00,295.00,735.00,820.00,485.00,200.00
5350217.00,5692.00,1.21,2720.00,1505.00,120.00,900.00,110.00,50.00,30.00,2725.00,305.00,595.00,810.00,505.00,510.00
5350218.00,2652.00,0.68,1175.00,650.00,55.00,395.00,50.00,30.00,0.00,1180.00,170.00,230.00,455.00,270.00,55.00
5350219.00,4427.00,1.36,1895.00,1145.00,60.00,570.00,45.00,50.00,25.00,1895.00,205.00,530.00,560.00,350.00,245.00
5350220.00,4177.00,1.30,2065.00,1360.00,115.00,455.00,100.00,20.00,15.00,2065.00,340.00,595.00,540.00,280.00,315.00
5350221.01,6377.00,1.62,2600.00,1665.00,160.00,630.00,80.00,20.00,40.00,2600.00,525.00,755.00,460.00,385.00,480.00
5350221.02,5202.00,0.81,2515.00,1400.00,165.00,805.00,85.00,50.00,10.00,2520.00,455.00,690.00,555.00,315.00,505.00
5350222.01,6699.00,1.29,3250.00,1970.00,155.00,990.00,95.00,0.00,30.00,3250.00,470.00,975.00,725.00,540.00,540.00
5350222.02,5141.00,1.20,2075.00,1290.00,125.00,535.00,55.00,15.00,55.00,2080.00,335.00,630.00,490.00,280.00,345.00
5350223.01,1522.00,0.87,685.00,460.00,40.00,155.00,20.00,10.00,0.00,680.00,105.00,195.00,175.00,115.00,90.00
5350223.02,2136.00,0.87,985.00,640.00,45.00,255.00,25.00,0.00,10.00,985.00,155.00,290.00,210.00,195.00,130.00
5350224.00,1696.00,1.04,755.00,590.00,40.00,110.00,0.00,0.00,10.00,755.00,110.00,215.00,205.00,145.00,75.00
5350225.01,4981.00,0.93,2240.00,1115.00,105.00,910.00,85.00,10.00,15.00,2245.00,290.00,595.00,610.00,425.00,330.00
5350225.02,9706.00,0.30,5030.00,1920.00,180.00,2635.00,245.00,25.00,25.00,5030.00,305.00,1305.00,1285.00,1190.00,940.00
5350226.00,3167.00,0.95,1250.00,740.00,25.00,435.00,35.00,0.00,10.00,1250.00,145.00,295.00,400.00,300.00,100.00
5350227.00,1750.00,0.49,845.00,485.00,35.00,250.00,45.00,0.00,10.00,840.00,120.00,180.00,320.00,135.00,80.00
5350228.00,3131.00,0.82,1185.00,670.00,50.00,390.00,25.00,30.00,20.00,1185.00,110.00,290.00,455.00,210.00,120.00
5350229.00,1223.00,0.32,455.00,315.00,10.00,110.00,10.00,0.00,10.00,455.00,40.00,95.00,215.00,85.00,20.00
5350230.01,2537.00,1.45,1045.00,685.00,55.00,260.00,35.00,10.00,10.00,1045.00,90.00,325.00,305.00,225.00,100.00
