,1,10,11,12,13,14,15,16,2,3,4,5,6,7,8,9
1,5,69,56,70,63,51,60,100,41,61,34,71,39,65,66,87
10,72,5,61,72,109,111,124,116,62,53,72,101,77,76,70,59
11,56,59,5,48,79,88,87,86,69,68,46,62,67,100,96,95
12,71,75,51,5,53,75,76,63,90,97,60,44,69,126,118,107
13,71,117,88,63,5,41,35,51,71,101,72,52,43,100,98,119
14,59,113,87,82,29,5,44,58,64,89,65,65,36,90,93,114
15,82,128,106,74,42,46,5,51,82,113,83,74,55,113,113,131
16,104,125,88,63,62,70,66,5,116,138,97,94,87,149,150,150
2,46,65,71,89,70,68,89,110,5,47,48,77,46,49,46,68
3,62,50,75,99,91,96,124,135,39,5,61,95,72,65,59,65
4,40,63,40,55,70,73,76,88,51,54,5,53,51,76,79,85
5,73,93,61,43,49,68,76,81,74,92,51,5,53,100,103,106
6,40,78,64,64,38,42,50,74,41,70,41,58,5,65,66,87
7,62,80,92,112,91,88,114,130,46,71,69,101,66,5,44,63
8,62,72,96,112,91,96,124,140,48,63,74,107,70,39,5,43
9,87,57,96,110,117,118,136,140,71,68,91,101,95,64,43,5
